Outlet,Date,Time,NetSales,Tax,TotalAmount,ReceiptNumber,Items,TotalItem,PaymentMethod,UseLoyaltyCard
SHOP001,2025-08-01,11:58:00,20720.721,2279.279,23000,SHOP001AUG2500028,Friendly Coffee (Hot),1,BCA,0
SHOP002,2025-08-01,12:14:02,18018.018,1981.982,20000,SHOP002AUG2500013,Americano (Hot Houseblend),1,BCA,0
SHOP001,2025-08-01,12:17:51,10810.811,1189.189,12000,SHOP001AUG2500029,Banana Bread (Original),1,BCA,0
SHOP003,2025-08-01,12:22:03,20720.721,2279.279,23000,SHOP003AUG2500022,Moody,1,BCA,0
SHOP001,2025-08-01,12:25:47,18918.919,2081.081,21000,SHOP001AUG2500030,Shakencano,1,BCA,0
SHOP001,2025-08-01,12:29:53,27027.027,2972.973,30000,SHOP001AUG2500031,Thai Tea (Gedhe),1,BCA,0
SHOP003,2025-08-01,12:32:14,18918.919,2081.081,21000,SHOP003AUG2500023,Green Thai Tea,1,BCA,0
SHOP001,2025-08-01,12:34:14,21621.622,2378.378,24000,SHOP001AUG2500032,Biru,1,BCA,0
SHOP003,2025-08-01,12:34:18,27027.027,2972.973,30000,SHOP003AUG2500024,Chocolate (Gedhe),1,BCA,0
SHOP003,2025-08-01,12:34:35,27027.027,2972.973,30000,SHOP003AUG2500025,Matchapresso (Gedhe),1,Cash,0
SHOP003,2025-08-01,12:38:29,37837.838,4162.162,42000,SHOP003AUG2500026,"Nutella Meses, Chocolate (Gedhe)",2,BCA,0
SHOP003,2025-08-01,12:41:03,27027.027,2972.973,30000,SHOP003AUG2500027,Not Tiramisu Latte (Gedhe),1,BCA,0
SHOP002,2025-08-01,12:46:00,10810.811,1189.189,12000,SHOP002AUG2500014,Banana Bread (Original),1,BCA,0
SHOP001,2025-08-01,12:53:16,37837.838,4162.162,42000,SHOP001AUG2500033,"Espresso Arabica (Basic Espresso), Hazelnut Latte (Gedhe)",2,Cash,0
SHOP001,2025-08-01,12:58:15,21621.622,2378.378,24000,SHOP001AUG2500034,Biru,1,BCA,0
SHOP003,2025-08-01,13:10:57,20720.721,2279.279,23000,SHOP003AUG2500028,Black Rice (Ice),1,Cash,0
SHOP001,2025-08-01,13:27:36,10810.811,1189.189,12000,SHOP001AUG2500035,Nutella Meses,1,BCA,0
SHOP002,2025-08-01,13:34:57,20720.721,2279.279,23000,SHOP002AUG2500015,Red Liquid,1,BCA,0
SHOP001,2025-08-01,13:40:34,47747.748,5252.252,53000,SHOP001AUG2500036,"Summer, Vanilla Latte (Gedhe)",2,Cash,0
SHOP003,2025-08-01,13:40:39,10810.811,1189.189,12000,SHOP003AUG2500029,Espresso Arabica (Basic Espresso),1,BCA,0
SHOP003,2025-08-01,13:43:49,18918.919,2081.081,21000,SHOP003AUG2500030,Jasmine (Hot),1,Cash,0
SHOP001,2025-08-01,13:50:55,18918.919,2081.081,21000,SHOP001AUG2500037,Green Thai Tea,1,BCA,0
SHOP002,2025-08-01,13:54:55,48648.649,5351.351,54000,SHOP002AUG2500016,"Not Tiramisu Latte (Gedhe), Berry Cake",2,BCA,0
SHOP003,2025-08-01,13:56:10,10810.811,1189.189,12000,SHOP003AUG2500031,Nutella Meses,1,Cash,0
SHOP002,2025-08-01,13:56:11,18018.018,1981.982,20000,SHOP002AUG2500017,BLACK (Arabica),1,BCA,0
SHOP003,2025-08-01,13:56:54,27027.027,2972.973,30000,SHOP003AUG2500032,WHITE (Arabica),1,BCA,0
SHOP001,2025-08-01,14:10:11,16216.216,1783.784,18000,SHOP001AUG2500038,Soft Tea,1,BCA,0
SHOP003,2025-08-01,14:14:55,21621.622,2378.378,24000,SHOP003AUG2500033,Forbidden Berry,1,Cash,0
SHOP003,2025-08-01,14:15:31,27027.027,2972.973,30000,SHOP003AUG2500034,Hazelnut Latte (Gedhe),1,BCA,0
SHOP002,2025-08-01,14:15:45,20720.721,2279.279,23000,SHOP002AUG2500018,Sunset,1,BCA,0
SHOP001,2025-08-01,14:16:12,10810.811,1189.189,12000,SHOP001AUG2500039,Nutella Meses,1,BCA,0
SHOP001,2025-08-01,14:17:34,19819.82,2180.18,22000,SHOP001AUG2500040,Pisang Coklat,1,BCA,0
SHOP001,2025-08-01,14:19:54,22522.523,2477.477,25000,SHOP001AUG2500041,Matcha Espresso,1,BCA,0
SHOP001,2025-08-01,14:20:39,22522.523,2477.477,25000,SHOP001AUG2500042,Matcha Espresso,1,BCA,0
SHOP001,2025-08-01,14:27:04,10810.811,1189.189,12000,SHOP001AUG2500043,Espresso Houseblend (Basic Espresso),1,BCA,0
SHOP002,2025-08-01,14:33:01,20720.721,2279.279,23000,SHOP002AUG2500019,Friendly Coffee (Ice),1,BCA,0
SHOP003,2025-08-01,14:36:43,47747.748,5252.252,53000,SHOP003AUG2500035,"Red Liquid, Butterscotch Latte (Gedhe)",2,BCA,0
SHOP003,2025-08-01,14:37:45,20720.721,2279.279,23000,SHOP003AUG2500036,Friendly Coffee (Ice),1,BCA,0
SHOP003,2025-08-01,14:39:59,9009.009,990.991,10000,SHOP003AUG2500037,Donat Polos,1,Cash,0
SHOP003,2025-08-01,14:43:09,20720.721,2279.279,23000,SHOP003AUG2500038,Black Rice (Hot),1,Cash,0
SHOP002,2025-08-01,14:44:01,13513.514,1486.486,15000,SHOP002AUG2500020,Nostaltea,1,BCA,0
SHOP001,2025-08-01,14:49:36,37837.838,4162.162,42000,SHOP001AUG2500044,"Green Apple, Jasmine (Hot)",2,Cash,0
SHOP001,2025-08-01,14:52:40,0.0,0.0,0,SHOP001AUG2500045,Basic Latte (Ice Arabica),1,Cash,1
SHOP002,2025-08-01,14:53:11,3603.604,396.396,4000,SHOP002AUG2500021,Upgrade Beans (Arabica),1,BCA,0
SHOP001,2025-08-01,14:55:51,20720.721,2279.279,23000,SHOP001AUG2500046,Vanilla Latte,1,BCA,0
SHOP001,2025-08-01,15:07:10,22522.523,2477.477,25000,SHOP001AUG2500047,Chocolate (Ice),1,BCA,0
SHOP003,2025-08-01,15:07:57,18018.018,1981.982,20000,SHOP003AUG2500039,Americano (Hot Arabica),1,BCA,0
SHOP001,2025-08-01,15:09:15,20720.721,2279.279,23000,SHOP001AUG2500048,Butterscotch,1,BCA,0
SHOP001,2025-08-01,15:18:51,28828.829,3171.171,32000,SHOP001AUG2500049,"Banana Bread (Original), BLACK (Arabica)",2,BCA,0
SHOP003,2025-08-01,15:24:47,19819.82,2180.18,22000,SHOP003AUG2500040,Cappuccino (Ice Houseblend),1,BCA,0
SHOP003,2025-08-01,15:28:38,23423.423,2576.577,26000,SHOP003AUG2500041,"Green Apple, Air Mineral",2,BCA,0
SHOP002,2025-08-01,15:35:26,45945.946,5054.054,51000,SHOP002AUG2500022,"Hazelnut Latte (Gedhe), Red Apple",2,BCA,0
SHOP001,2025-08-01,15:40:44,39639.64,4360.36,44000,SHOP001AUG2500050,"Apple Pie Latte, BLACK (Houseblend)",2,GoFood,0
SHOP001,2025-08-01,15:46:27,10810.811,1189.189,12000,SHOP001AUG2500051,Banana Bread (Original),1,BCA,0
SHOP003,2025-08-01,15:48:50,3603.604,396.396,4000,SHOP003AUG2500042,Upgrade Beans (Arabica),1,Cash,0
SHOP001,2025-08-01,15:49:43,18018.018,1981.982,20000,SHOP001AUG2500052,Lemons,1,BCA,0
SHOP001,2025-08-01,15:52:15,20720.721,2279.279,23000,SHOP001AUG2500053,Basic Latte (Ice Arabica),1,Cash,0
SHOP001,2025-08-01,15:55:23,20720.721,2279.279,23000,SHOP001AUG2500054,Friendly Coffee (Hot),1,BCA,0
SHOP003,2025-08-01,16:01:32,18018.018,1981.982,20000,SHOP003AUG2500043,Americano (Ice Arabica),1,BCA,0
SHOP003,2025-08-01,16:11:39,6306.306,693.694,7000,SHOP003AUG2500044,Extra Shot (Arabica),1,BCA,0
SHOP003,2025-08-01,16:13:54,36036.036,3963.964,40000,SHOP003AUG2500045,"Chamomile, Americano (Ice Arabica)",2,Cash,0
SHOP001,2025-08-01,16:21:54,18918.919,2081.081,21000,SHOP001AUG2500055,Shakencano,1,BCA,0
SHOP003,2025-08-01,16:26:28,32432.432,3567.568,36000,SHOP003AUG2500046,"Red Apple, Nostaltea",2,Cash,0
SHOP001,2025-08-01,16:29:34,18918.919,2081.081,21000,SHOP001AUG2500056,Thai Tea,1,BCA,0
SHOP001,2025-08-01,16:32:50,20720.721,2279.279,23000,SHOP001AUG2500057,Red Liquid,1,BCA,0
SHOP001,2025-08-01,16:40:55,45945.946,5054.054,51000,SHOP001AUG2500058,"WHITE (Houseblend), Lemon Tea (Hot)",2,BCA,0
SHOP001,2025-08-01,16:45:47,18018.018,1981.982,20000,SHOP001AUG2500059,Americano (Ice Houesblend),1,BCA,0
SHOP002,2025-08-01,16:47:09,21621.622,2378.378,24000,SHOP002AUG2500023,Apple Pie Latte,1,BCA,0
SHOP001,2025-08-01,16:51:56,10810.811,1189.189,12000,SHOP001AUG2500060,Espresso Houseblend (On The Rock),1,Cash,0
SHOP003,2025-08-01,16:52:21,18018.018,1981.982,20000,SHOP003AUG2500047,Americano (Hot Houseblend),1,BCA,0
SHOP001,2025-08-01,17:01:37,27027.027,2972.973,30000,SHOP001AUG2500061,Chocolate (Gedhe),1,Cash,0
SHOP001,2025-08-01,17:07:32,19819.82,2180.18,22000,SHOP001AUG2500062,Cappuccino (Ice Houseblend),1,BCA,0
SHOP002,2025-08-01,17:09:06,18018.018,1981.982,20000,SHOP002AUG2500024,BLACK (Houseblend),1,BCA,0
SHOP002,2025-08-01,17:09:20,27027.027,2972.973,30000,SHOP002AUG2500025,Happy Moca (Ice),1,BCA,0
SHOP001,2025-08-01,17:16:25,16216.216,1783.784,18000,SHOP001AUG2500063,Soft Tea,1,BCA,0
SHOP003,2025-08-01,17:17:35,47747.748,5252.252,53000,SHOP003AUG2500048,"Not Tiramisu Latte (Gedhe), Basic Latte (Hot Houseblend)",2,Cash,0
SHOP002,2025-08-01,17:17:40,27027.027,2972.973,30000,SHOP002AUG2500026,Happy Moca (Hot),1,Cash,0
SHOP001,2025-08-01,17:29:21,19819.82,2180.18,22000,SHOP001AUG2500064,Cappuccino (Ice Arabica),1,BCA,0
SHOP001,2025-08-01,17:32:19,37837.838,4162.162,42000,SHOP001AUG2500065,"Thai Tea (Gedhe), Espresso Arabica (Basic Espresso)",2,BCA,0
SHOP001,2025-08-01,17:33:55,10810.811,1189.189,12000,SHOP001AUG2500066,Gula Gula,1,BCA,0
SHOP002,2025-08-01,17:49:37,18918.919,2081.081,21000,SHOP002AUG2500027,Lemon Tea (Hot),1,BCA,0
SHOP003,2025-08-01,17:51:32,18918.919,2081.081,21000,SHOP003AUG2500049,Jasmine (Hot),1,Cash,0
SHOP002,2025-08-01,17:56:44,5405.405,594.595,6000,SHOP002AUG2500028,Extra Shot (Houseblend),1,BCA,0
SHOP003,2025-08-01,18:00:01,36936.937,4063.063,41000,SHOP003AUG2500050,"Americano (Ice Arabica), Green Thai Tea",2,Cash,0
SHOP001,2025-08-01,18:02:13,47747.748,5252.252,53000,SHOP001AUG2500067,"Matcha Latte (Gedhe), Sunset",2,BCA,0
SHOP003,2025-08-01,18:16:07,18918.919,2081.081,21000,SHOP003AUG2500051,Green Apple,1,BCA,0
SHOP003,2025-08-01,18:20:10,18918.919,2081.081,21000,SHOP003AUG2500052,Lemon Tea (Ice),1,BCA,0
SHOP001,2025-08-01,18:21:51,27027.027,2972.973,30000,SHOP001AUG2500068,Apple Pie Latte (Gedhe),1,BCA,0
SHOP001,2025-08-01,18:22:56,27027.027,2972.973,30000,SHOP001AUG2500069,Matchapresso (Gedhe),1,BCA,0
SHOP003,2025-08-01,18:25:57,38738.739,4261.261,43000,SHOP003AUG2500053,"Soft Tea, Waffle",2,Cash,0
SHOP003,2025-08-01,18:27:20,10810.811,1189.189,12000,SHOP003AUG2500054,Burnt Sugar,1,BCA,0
SHOP003,2025-08-01,18:27:53,42342.342,4657.658,47000,SHOP003AUG2500055,"Chocolate (Ice), Cappuccino (Hot Houseblend)",2,BCA,0
SHOP001,2025-08-01,18:28:11,22522.523,2477.477,25000,SHOP001AUG2500070,Matcha Espresso,1,Cash,0
SHOP001,2025-08-01,18:31:19,18018.018,1981.982,20000,SHOP001AUG2500071,Americano (Ice Houesblend),1,Cash,0
SHOP001,2025-08-01,18:34:25,6306.306,693.694,7000,SHOP001AUG2500072,Extra Shot (Arabica),1,BCA,0
SHOP002,2025-08-01,18:36:13,18918.919,2081.081,21000,SHOP002AUG2500029,Red Apple,1,BCA,0
SHOP001,2025-08-01,18:42:11,18018.018,1981.982,20000,SHOP001AUG2500073,Americano (Ice Houesblend),1,BCA,0
SHOP001,2025-08-01,18:42:59,10810.811,1189.189,12000,SHOP001AUG2500074,Espresso Houseblend (Basic Espresso),1,BCA,0
SHOP003,2025-08-01,18:46:09,21621.622,2378.378,24000,SHOP003AUG2500056,Creamy Klepon,1,BCA,0
SHOP003,2025-08-01,18:48:47,19819.82,2180.18,22000,SHOP003AUG2500057,Cappuccino (Ice Houseblend),1,BCA,0
SHOP003,2025-08-01,18:49:13,27027.027,2972.973,30000,SHOP003AUG2500058,WHITE (Arabica),1,BCA,0
SHOP003,2025-08-01,18:50:10,18918.919,2081.081,21000,SHOP003AUG2500059,Jasmine (Ice),1,Cash,0
SHOP003,2025-08-01,18:53:13,21621.622,2378.378,24000,SHOP003AUG2500060,Biru,1,BCA,0
SHOP001,2025-08-01,19:01:34,20720.721,2279.279,23000,SHOP001AUG2500075,Vanilla Latte,1,BCA,0
SHOP001,2025-08-01,19:02:17,21621.622,2378.378,24000,SHOP001AUG2500076,Sitrus Cafe,1,BCA,0
SHOP003,2025-08-01,19:07:23,27027.027,2972.973,30000,SHOP003AUG2500061,Chocolate (Gedhe),1,BCA,0
SHOP001,2025-08-01,19:20:45,27027.027,2972.973,30000,SHOP001AUG2500077,Creamy Chocolate Cake,1,BCA,0
SHOP003,2025-08-01,19:24:40,19819.82,2180.18,22000,SHOP003AUG2500062,Pisang Coklat,1,Cash,0
SHOP003,2025-08-01,19:26:07,33333.333,3666.667,37000,SHOP003AUG2500063,"Not Tiramisu Latte (Gedhe), Extra Shot (Arabica)",2,BCA,0
SHOP002,2025-08-01,19:26:13,18018.018,1981.982,20000,SHOP002AUG2500030,BLACK,1,BCA,0
SHOP001,2025-08-01,19:35:21,20720.721,2279.279,23000,SHOP001AUG2500078,Basic Latte (Hot Houseblend),1,Cash,0
SHOP002,2025-08-01,19:38:26,18918.919,2081.081,21000,SHOP002AUG2500031,Jasmine (Ice),1,BCA,0
SHOP002,2025-08-01,19:41:33,20720.721,2279.279,23000,SHOP002AUG2500032,Hazelnut Latte,1,BCA,0
SHOP003,2025-08-01,19:41:59,20720.721,2279.279,23000,SHOP003AUG2500064,Candy Latte,1,BCA,0
SHOP001,2025-08-01,19:51:51,18918.919,2081.081,21000,SHOP001AUG2500079,Thai Tea,1,BCA,0
SHOP002,2025-08-01,19:54:48,26126.126,2873.874,29000,SHOP002AUG2500033,"Extra Shot (Houseblend), Moody",2,BCA,0
SHOP003,2025-08-01,19:57:15,27027.027,2972.973,30000,SHOP003AUG2500065,Creamy Chocolate Cake,1,BCA,0
SHOP003,2025-08-01,19:57:44,20720.721,2279.279,23000,SHOP003AUG2500066,Basic Latte (Ice Arabica),1,Cash,0
SHOP001,2025-08-01,20:00:01,18018.018,1981.982,20000,SHOP001AUG2500080,BLACK (Arabica),1,BCA,0
SHOP001,2025-08-01,20:02:20,18918.919,2081.081,21000,SHOP001AUG2500081,Jasmine (Ice),1,BCA,0
SHOP003,2025-08-01,20:04:11,27027.027,2972.973,30000,SHOP003AUG2500067,WHITE (Arabica),1,BCA,0
SHOP003,2025-08-01,20:08:40,18018.018,1981.982,20000,SHOP003AUG2500068,BLACK (Arabica),1,BCA,0
SHOP001,2025-08-01,20:12:11,18918.919,2081.081,21000,SHOP001AUG2500082,Green Thai Tea,1,BCA,0
SHOP003,2025-08-01,20:13:27,21621.622,2378.378,24000,SHOP003AUG2500069,Forbidden Berry,1,Cash,0
SHOP003,2025-08-01,20:17:23,27027.027,2972.973,30000,SHOP003AUG2500070,Happy Moca (Hot),1,BCA,0
SHOP002,2025-08-01,20:19:25,27027.027,2972.973,30000,SHOP002AUG2500034,Biru (Gedhe),1,BCA,0
SHOP003,2025-08-01,20:20:21,16216.216,1783.784,18000,SHOP003AUG2500071,Soft Tea,1,BCA,0
SHOP001,2025-08-01,20:23:23,20720.721,2279.279,23000,SHOP001AUG2500083,Basic Latte (Ice Arabica),1,BCA,0
SHOP001,2025-08-01,20:25:11,22522.523,2477.477,25000,SHOP001AUG2500084,"Americano (Ice Arabica), Air Mineral",2,Cash,0
SHOP001,2025-08-01,20:37:00,19819.82,2180.18,22000,SHOP001AUG2500085,Pisang Coklat,1,BCA,0
SHOP003,2025-08-01,20:38:24,18918.919,2081.081,21000,SHOP003AUG2500072,Green Apple,1,BCA,0
SHOP002,2025-08-01,20:44:39,5405.405,594.595,6000,SHOP002AUG2500035,Extra Shot (Houseblend),1,BCA,0
SHOP001,2025-08-01,20:52:11,46846.847,5153.153,52000,SHOP001AUG2500086,"Forbidden Berry, Croffle",2,BCA,0
SHOP003,2025-08-01,20:52:31,47747.748,5252.252,53000,SHOP003AUG2500073,"Apple Pie Latte (Gedhe), Hazelnut Latte",2,Cash,0
SHOP003,2025-08-01,20:52:32,10810.811,1189.189,12000,SHOP003AUG2500074,Banana Bread (Chocolate),1,BCA,0
SHOP003,2025-08-01,20:54:04,27027.027,2972.973,30000,SHOP003AUG2500075,Thai Tea (Gedhe),1,BCA,0
SHOP001,2025-08-01,20:56:15,13513.514,1486.486,15000,SHOP001AUG2500087,Nostaltea,1,BCA,0
SHOP001,2025-08-01,21:11:46,20720.721,2279.279,23000,SHOP001AUG2500088,Butterscotch,1,Cash,0
SHOP002,2025-08-01,21:13:34,19819.82,2180.18,22000,SHOP002AUG2500036,Cappuccino (Hot Houseblend),1,Cash,0
SHOP002,2025-08-01,21:16:13,25225.225,2774.775,28000,SHOP002AUG2500037,Croffle,1,BCA,0
SHOP001,2025-08-01,21:30:18,27027.027,2972.973,30000,SHOP001AUG2500089,Vanilla Latte (Gedhe),1,BCA,0
SHOP003,2025-08-01,21:32:11,43243.243,4756.757,48000,SHOP003AUG2500076,"Waffle, Moody",2,BCA,0
SHOP003,2025-08-01,21:41:02,10810.811,1189.189,12000,SHOP003AUG2500077,Banana Bread (Original),1,BCA,0
SHOP001,2025-08-01,21:46:11,13513.514,1486.486,15000,SHOP001AUG2500090,Nostaltea,1,BCA,0
SHOP002,2025-08-01,21:48:22,52252.252,5747.748,58000,SHOP002AUG2500038,"Matcha Latte (Gedhe), Croffle",2,BCA,0
SHOP003,2025-08-01,21:50:09,21621.622,2378.378,24000,SHOP003AUG2500078,Forbidden Berry,1,BCA,0
SHOP003,2025-08-01,22:12:07,37837.838,4162.162,42000,SHOP003AUG2500079,"Happy Moca (Ice), Espresso Arabica (Basic Espresso)",2,BCA,0
SHOP001,2025-08-01,22:16:56,18918.919,2081.081,21000,SHOP001AUG2500091,Jasmine (Hot),1,BCA,0
SHOP001,2025-08-01,22:17:33,20720.721,2279.279,23000,SHOP001AUG2500092,Sunset,1,BCA,0
SHOP003,2025-08-01,22:23:03,20720.721,2279.279,23000,SHOP003AUG2500080,Friendly Coffee (Ice double shot),1,Cash,0
SHOP001,2025-08-01,22:27:35,10810.811,1189.189,12000,SHOP001AUG2500093,Espresso Arabica (On The Rock),1,BCA,0
SHOP001,2025-08-01,22:38:24,18018.018,1981.982,20000,SHOP001AUG2500094,Americano (Hot Arabica),1,BCA,0
SHOP003,2025-08-01,22:40:58,0.0,0.0,0,SHOP003AUG2500081,Thai Tea (Gedhe),1,Cash,1
